2026-07-01 12:22:35,885 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:22:35,886 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 12:22:35,888 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 12:22:35,888 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 12:22:52,814 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 12:22:52,816 | INFO | src.metrics.ProbabilisticEvaluation | Probabilistic setpoints (delta=0.10 -> Pr>=0.90): kept 0 / 399 cells.
2026-07-01 12:22:52,817 | WARNING | src.metrics.ProbabilisticEvaluation | No cell met Pr >= 0.90. Max Pr on grid was 0.605. Relax delta, gate on a single target, or revisit setpoints/model.
2026-07-01 12:22:52,817 | INFO | log_mbc_annealing_uncertainty | Feasible cells (Pr >= 0.90): 0
2026-07-01 12:22:52,817 | WARNING | log_mbc_annealing_uncertainty | No cell satisfies the chance constraint at delta=0.10. Consider relaxing delta or the setpoints.
2026-07-01 12:27:54,173 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 12:27:54,173 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 12:27:54,220 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'tensile_strength': 210.0} | delta=0.5
2026-07-01 12:27:54,220 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 12:27:54,223 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 12:27:54,223 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:27:54,493 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 12:27:54,760 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:27:54,760 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 12:27:54,762 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 12:27:54,762 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 12:28:11,213 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 12:28:11,215 | INFO | src.metrics.ProbabilisticEvaluation | Probabilistic setpoints (delta=0.50 -> Pr>=0.50): kept 6 / 399 cells.
2026-07-01 12:28:11,215 | INFO | log_mbc_annealing_uncertainty | Feasible cells (Pr >= 0.50): 6
2026-07-01 12:28:11,215 | INFO | log_mbc_annealing_uncertainty | Computing cost functions
2026-07-01 12:28:11,217 | INFO | log_mbc_annealing_uncertainty | Selecting operating points
2026-07-01 12:28:11,233 | INFO | log_mbc_annealing_uncertainty | Selections saved to data\enriched\mbc_annealing_uncertainty\mbc_ann_unc_uncertainty_aware_pilot.csv
2026-07-01 12:28:11,235 | INFO | log_mbc_annealing_uncertainty | Full feasible grid saved to data\enriched\mbc_annealing_uncertainty\mbc_ann_unc_uncertainty_aware_pilot_full_grid.csv
2026-07-01 12:28:11,237 | INFO | log_mbc_annealing_uncertainty | Pipeline finished successfully.
2026-07-01 13:35:13,897 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 13:35:13,897 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 13:35:13,931 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'tensile_strength': 210.0} | delta=0.5
2026-07-01 13:35:13,931 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 13:35:13,933 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 13:35:13,933 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 13:35:14,217 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 13:35:14,469 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 13:35:14,469 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 13:35:14,472 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 13:35:14,472 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 13:35:32,437 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 13:35:32,439 | INFO | src.metrics.ProbabilisticEvaluation | Probabilistic setpoints (delta=0.50 -> Pr>=0.50): kept 6 / 399 cells.
2026-07-01 13:35:32,439 | INFO | log_mbc_annealing_uncertainty | Feasible cells (Pr >= 0.50): 6
2026-07-01 13:35:32,439 | INFO | log_mbc_annealing_uncertainty | Computing cost functions
2026-07-01 13:35:32,441 | INFO | log_mbc_annealing_uncertainty | Selecting operating points
2026-07-01 13:35:32,456 | INFO | log_mbc_annealing_uncertainty | Selections saved to data\enriched\mbc_annealing_uncertainty_script_results\test_script_run1\mbc_ann_unc.csv
2026-07-01 13:35:32,458 | INFO | log_mbc_annealing_uncertainty | Full feasible grid saved to data\enriched\mbc_annealing_uncertainty_script_results\mbc_ann_unc_full_grid.csv
2026-07-01 13:35:32,458 | INFO | log_mbc_annealing_uncertainty | Pipeline finished successfully.
2026-07-01 13:59:38,370 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 13:59:38,370 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 13:59:38,386 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'tensile_strength': 210.0} | delta=0.5
2026-07-01 13:59:38,387 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 13:59:38,389 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 13:59:38,391 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 13:59:38,660 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 13:59:38,897 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 13:59:38,897 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 13:59:38,908 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 13:59:38,908 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
